,Name,Market Cap (US$ Billion)
0,JPMorgan Chase,488.47
1,Bank of America,379.25
2,Industrial and Commercial Bank of China,246.5
3,Wells Fargo,308.013
4,China Construction Bank,257.399
5,HSBC Holdings PLC,219.27
6,Agricultural Bank of China,203.244
7,Citigroup Inc.,203.165
8,Bank of China,181.469
9,HDFC Bank,134.4
10,Goldman Sachs,131.68
11,China Merchants Bank,122.616
12,Royal Bank of Canada,122.564
13,Banco Santander,115.696
14,Commonwealth Bank,112.227
15,Mitsubishi UFJ Financial Group,111.66
16,Toronto-Dominion Bank,108.449
17,Sberbank of Russia,99.84
18,Morgan Stanley,99.651
19,U.S. Bancorp,94.558
20,BNP Paribas,93.329
21,Itaú Unibanco,86.203
22,Westpac,84.56
23,Scotiabank,78.947
24,ING Group,78.92
25,UBS,75.482
26,Charles Schwab,74.255
27,PNC Financial Services,72.246
28,Lloyds Banking Group,71.253
29,Sumitomo Mitsui Financial Group,67.328
30,Bank of Communications,67.078
31,Australia and New Zealand Banking Group,66.448
32,Banco Bradesco,64.816
33,National Australia Bank,63.794
34,Intesa Sanpaolo,62.032
35,Banco Bilbao Vizcaya Argentaria,60.678
36,Japan Post Bank,60.525
37,The Bank of New York Mellon,59.823
38,Shanghai Pudong Development Bank,58.796
39,Industrial Bank (China),57.388
40,Bank of China (Hong Kong),55.449
41,Bank of Montreal,53.181
42,Crédit Agricole,52.141
43,DBS Bank,51.475
44,Nordea,51.185
45,Capital One,51.107
46,NatWest Group,50.49
47,Mizuho Financial Group,50.018
48,Credit Suisse,48.462
49,Postal Savings Bank of China,47.948
50,China Minsheng Bank,47.921
51,UniCredit,47.777
52,China CITIC Bank,47.451
53,Hang Seng Bank,46.171
54,Société Générale,46.051
55,Barclays,45.85
56,Canadian Imperial Bank of Commerce,43.544
57,Bank Central Asia,43.344
58,Truist Financial,41.923
59,Oversea-Chinese Banking Corp,41.362
60,State Bank of India,55.7
61,State Street,39.769
62,Deutsche Bank,38.649
63,KBC Bank,38.394
64,Danske Bank,38.223
65,Ping An Bank,37.993
66,Standard Chartered,37.319
67,United Overseas Bank,35.128
68,QNB Group,33.56
69,Bank Rakyat Indonesia,33.081
